recording_id,spectrogram_path,spectrogram_path.1,duration_sec,low_freq_hz,peak_freq_hz,high_freq_hz,peak_amplitude_db,snr_db,latitude,longitude,ibra_bioregion,habitat,date,time_local,season,temp_celcius,humidity,sex,age_class,timestamp,hour,month,spec_fullpath,label,file_exists,label_idx,cnn_pred,cnn_conf,crnn_pred,crnn_conf,cluster_km
3-audio-2203375752__chunk001,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk001__mel.png,5,1545.6,1799.4,2715.6,86.4,12.3,-31.22621,128.43265,Tanami,Acacia shrubland,4/12/2024,8:42,Spring,31.3,27.0,Unknown,Juvenile,2024-12-04 08:42:00,8,12,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk001__mel.png,Tanami,True,10,Tanami,0.4956875,Great Victoria Desert,0.26385766,0
4-audio-1074563498__chunk000,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk000__mel.png,5,1805.0,2317.9,3166.7,96.3,13.4,-20.5122,126.33356,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,10:03,Spring,28.0,46.1,Male,Adult,2023-11-17 10:03:00,10,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk000__mel.png,Murray-Darling Depression,True,8,Mitchell Grass Downs,0.17121738,Murray-Darling Depression,0.3018241,0
4-audio-1074563498__chunk001,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk001__mel.png,5,1169.9,1497.0,1933.0,71.7,16.7,-25.70655,133.52791,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,7:49,Spring,25.0,71.3,Male,Adult,2023-11-17 07:49:00,7,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk001__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.49075967,Murray-Darling Depression,0.2868096,0
4-audio-1074563498__chunk002,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk002__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk002__mel.png,5,1341.3,1640.7,1924.3,68.0,10.9,-29.17229,122.31804,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,11:20,Spring,27.1,37.1,Male,Adult,2023-11-17 11:20:00,11,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk002__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.6083337,Central Ranges,0.2963152,0
4-audio-1074563498__chunk003,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk003__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk003__mel.png,5,835.9,1021.3,1478.3,69.0,21.4,-25.9507,133.29156,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,13:10,Spring,24.6,18.2,Male,Adult,2023-11-17 13:10:00,13,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk003__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.6479913,Murray-Darling Depression,0.28468308,0
4-audio-1074563498__chunk004,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk004__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk004__mel.png,5,853.5,1178.6,1508.7,81.5,15.6,-22.40401,122.4181,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,10:36,Spring,26.0,56.5,Male,Adult,2023-11-17 10:36:00,10,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk004__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.7048593,Central Ranges,0.45895264,2
4-audio-1074563498__chunk005,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk005__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk005__mel.png,5,755.1,969.5,1337.9,61.1,14.2,-27.32218,125.1139,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,9:23,Spring,15.0,13.1,Male,Adult,2023-11-17 09:23:00,9,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk005__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.5004388,Murray-Darling Depression,0.31977326,0
4-audio-1074563498__chunk006,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk006__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk006__mel.png,5,2433.8,2703.9,3318.5,89.6,9.8,-28.17198,127.55,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,6:46,Spring,22.3,63.5,Male,Adult,2023-11-17 06:46:00,6,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk006__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.4812251,Central Ranges,0.32462138,0
4-audio-1074563498__chunk007,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk007__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk007__mel.png,5,1644.0,2058.2,2967.4,93.1,17.7,-24.54189,133.39252,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,9:02,Spring,31.9,26.8,Male,Adult,2023-11-17 09:02:00,9,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk007__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.7197473,Central Ranges,0.4246178,0
4-audio-1074563498__chunk008,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk008__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk008__mel.png,5,708.3,930.6,1207.5,61.2,20.5,-29.10171,127.43729,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,10:31,Spring,29.9,12.1,Male,Adult,2023-11-17 10:31:00,10,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk008__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.47206494,Murray-Darling Depression,0.34987375,0
4-audio-1074563498__chunk009,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk009__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk009__mel.png,5,1376.1,1602.5,2006.1,62.1,20.2,-30.81709,138.84692,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,6:55,Spring,19.0,70.5,Male,Adult,2023-11-17 06:55:00,6,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk009__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.2872138,Murray-Darling Depression,0.34543377,0
4-audio-1074563498__chunk010,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk010__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk010__mel.png,5,2549.5,3091.1,3684.4,90.9,13.9,-23.14916,128.014,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,8:25,Spring,22.8,79.4,Male,Adult,2023-11-17 08:25:00,8,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk010__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.46482822,Murray-Darling Depression,0.3250382,0
4-audio-1074563498__chunk011,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk011__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk011__mel.png,5,751.3,1025.9,1288.1,62.4,19.5,-22.01439,135.92697,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,17:06,Spring,18.3,70.5,Male,Adult,2023-11-17 17:06:00,17,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk011__mel.png,Murray-Darling Depression,True,8,Murray-Darling Depression,0.6356749,Murray-Darling Depression,0.29683304,0
5-audio-7838854693__chunk000,spectrograms/Lophochroa_leadbeateri/5-audio-7838854693__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/5-audio-7838854693__chunk000__mel.png,5,2766.2,2966.7,3671.6,89.8,12.0,-25.96142,136.05046,Central Ranges,Spinifex grassland,6/09/2024,16:46,Winter,25.4,35.5,Female,Adult,2024-09-06 16:46:00,16,9,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\5-audio-7838854693__chunk000__mel.png,Central Ranges,True,1,Central Ranges,0.38250604,Great Victoria Desert,0.32513544,0
5-audio-7838854693__chunk001,spectrograms/Lophochroa_leadbeateri/5-audio-7838854693__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/5-audio-7838854693__chunk001__mel.png,5,1350.5,1571.6,1838.2,73.1,12.0,-20.4547,127.58602,Central Ranges,Spinifex grassland,6/09/2024,7:00,Winter,30.7,24.1,Female,Adult,2024-09-06 07:00:00,7,9,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\5-audio-7838854693__chunk001__mel.png,Central Ranges,True,1,Central Ranges,0.7169018,Great Victoria Desert,0.2604935,0
6-audio-7400016106__chunk000,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk000__mel.png,5,2610.5,2949.7,3861.7,86.0,15.1,-26.44284,126.94685,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,17:24,Summer,19.3,18.2,Male,Juvenile,2024-03-16 17:24:00,17,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk000__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.9947621,Murray-Darling Depression,0.31927818,2
6-audio-7400016106__chunk001,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk001__mel.png,5,1780.3,2233.6,3189.6,98.7,12.7,-27.39033,130.11884,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,12:57,Summer,21.2,60.1,Male,Juvenile,2024-03-16 12:57:00,12,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk001__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.999244,Murray-Darling Depression,0.3212574,2
6-audio-7400016106__chunk002,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk002__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk002__mel.png,5,878.2,1088.1,1360.5,58.1,14.0,-19.7596,127.09844,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,12:51,Summer,28.3,69.2,Male,Juvenile,2024-03-16 12:51:00,12,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk002__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.999132,Murray-Darling Depression,0.2625224,2
6-audio-7400016106__chunk003,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk003__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk003__mel.png,5,654.3,999.3,1340.9,74.8,14.8,-19.53973,132.68895,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,6:45,Summer,27.2,62.6,Male,Juvenile,2024-03-16 06:45:00,6,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk003__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.9954347,Murray-Darling Depression,0.33256006,2
6-audio-7400016106__chunk004,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk004__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk004__mel.png,5,1805.0,2317.9,3166.7,96.3,13.4,-20.5122,126.33356,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,10:03,Summer,28.0,46.1,Male,Juvenile,2024-03-16 10:03:00,10,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk004__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.96997166,Great Victoria Desert,0.33022743,2
6-audio-7400016106__chunk005,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk005__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk005__mel.png,5,2610.5,2949.7,3861.7,86.0,15.1,-26.44284,126.94685,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,17:24,Summer,19.3,18.2,Male,Juvenile,2024-03-16 17:24:00,17,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk005__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.9996859,Great Victoria Desert,0.26094317,2
6-audio-7400016106__chunk006,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk006__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk006__mel.png,5,1045.8,1423.7,1686.6,68.0,14.0,-23.51181,138.8985,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,9:49,Summer,21.2,33.6,Male,Juvenile,2024-03-16 09:49:00,9,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk006__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.99975044,Murray-Darling Depression,0.337887,2
6-audio-7400016106__chunk007,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk007__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk007__mel.png,5,1644.0,2058.2,2967.4,93.1,17.7,-24.54189,133.39252,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,9:02,Summer,31.9,26.8,Male,Juvenile,2024-03-16 09:02:00,9,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk007__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.999426,Murray-Darling Depression,0.3340893,2
6-audio-7400016106__chunk008,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk008__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk008__mel.png,5,238.5,439.1,1387.7,58.1,11.6,-28.36784,122.81312,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,11:44,Summer,30.3,59.6,Male,Juvenile,2024-03-16 11:44:00,11,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk008__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.9999492,Murray-Darling Depression,0.33383185,2
6-audio-7400016106__chunk009,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk009__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk009__mel.png,5,594.3,961.0,1171.4,78.5,11.5,-20.18995,138.24776,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,18:42,Summer,23.2,68.9,Male,Juvenile,2024-03-16 18:42:00,18,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk009__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.99865663,Murray-Darling Depression,0.32485408,2
6-audio-7400016106__chunk010,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk010__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk010__mel.png,5,1408.9,1909.6,2497.9,85.5,9.6,-25.8565,127.45336,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,10:10,Summer,15.9,67.7,Male,Juvenile,2024-03-16 10:10:00,10,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk010__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.9996216,Murray-Darling Depression,0.34176672,2
6-audio-7400016106__chunk011,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk011__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk011__mel.png,5,2549.5,3091.1,3684.4,90.9,13.9,-23.14916,128.014,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,8:25,Summer,22.8,79.4,Male,Juvenile,2024-03-16 08:25:00,8,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk011__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.9994772,Murray-Darling Depression,0.33384427,2
6-audio-7400016106__chunk012,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk012__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk012__mel.png,5,999.3,1335.9,1643.0,67.3,23.0,-31.32003,130.29385,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,14:57,Summer,26.3,15.5,Male,Juvenile,2024-03-16 14:57:00,14,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk012__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.99893624,Murray-Darling Depression,0.33936152,2
6-audio-7400016106__chunk013,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk013__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk013__mel.png,5,433.1,733.9,1863.9,54.4,11.1,-22.87297,137.61483,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,11:21,Summer,38.8,29.3,Male,Juvenile,2024-03-16 11:21:00,11,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk013__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.99914217,Murray-Darling Depression,0.28994027,2
6-audio-7400016106__chunk014,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk014__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk014__mel.png,5,1407.6,1655.8,1936.5,78.3,12.1,-29.49024,132.78889,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,17:14,Summer,34.4,34.7,Male,Juvenile,2024-03-16 17:14:00,17,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk014__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.9997781,Murray-Darling Depression,0.31503442,2
6-audio-7400016106__chunk015,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk015__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk015__mel.png,5,1081.4,1380.4,1809.8,69.1,18.2,-25.60967,126.32407,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,14:01,Summer,28.5,30.8,Male,Juvenile,2024-03-16 14:01:00,14,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk015__mel.png,Mitchell Grass Downs,True,7,Mitchell Grass Downs,0.9998572,Murray-Darling Depression,0.33251414,2
