recording_id,spectrogram_path,spectrogram_path.1,duration_sec,low_freq_hz,peak_freq_hz,high_freq_hz,peak_amplitude_db,snr_db,latitude,longitude,ibra_bioregion,habitat,date,time_local,season,temp_celcius,humidity,sex,age_class,timestamp,hour,month,spec_fullpath,label,label_idx,cnn_pred,cnn_conf,crnn_pred,crnn_conf,dummy,PC1,PC2
2-audio-695039707__chunk003,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk003__mel.png,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk003__mel.png,5,614.6,921.5,1320.2,79.2,10.6,-22.11884,127.43177,MacDonnell Ranges,Acacia shrubland,29/05/2024,17:38,Autumn,24.5,80.3,Unknown,Adult,2024-05-29 17:38:00,17,5,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk003__mel.png,MacDonnell Ranges,6,MacDonnell Ranges,0.32126528,Finke,0.16047896,0,1.7814095,-2.0734067
3-audio-2203375752__chunk000,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk000__mel.png,5,1185.3,1423.7,1667.9,73.1,14.3,-21.71385,132.19557,Tanami,Acacia shrubland,4/12/2024,12:42,Spring,40.7,63.9,Unknown,Juvenile,2024-12-04 12:42:00,12,12,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk000__mel.png,Tanami,10,Central Ranges,0.1932964,Central Ranges,0.28809565,0,1.2327919,-3.8741317
3-audio-2203375752__chunk001,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk001__mel.png,5,1545.6,1799.4,2715.6,86.4,12.3,-31.22621,128.43265,Tanami,Acacia shrubland,4/12/2024,8:42,Spring,31.3,27.0,Unknown,Juvenile,2024-12-04 08:42:00,8,12,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk001__mel.png,Tanami,10,Tanami,0.3786348,Central Ranges,0.24843222,0,0.25406098,-4.926132
4-audio-1074563498__chunk000,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk000__mel.png,5,1805.0,2317.9,3166.7,96.3,13.4,-20.5122,126.33356,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,10:03,Spring,28.0,46.1,Male,Adult,2023-11-17 10:03:00,10,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk000__mel.png,Murray-Darling Depression,8,Gawler,0.40579653,Central Ranges,0.20904739,0,0.6670144,-2.4011302
4-audio-1074563498__chunk001,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk001__mel.png,5,1169.9,1497.0,1933.0,71.7,16.7,-25.70655,133.52791,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,7:49,Spring,25.0,71.3,Male,Adult,2023-11-17 07:49:00,7,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk001__mel.png,Murray-Darling Depression,8,Murray-Darling Depression,0.6165678,Finke,0.24532223,0,2.7183928,2.1406953
4-audio-1074563498__chunk002,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk002__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk002__mel.png,5,1341.3,1640.7,1924.3,68.0,10.9,-29.17229,122.31804,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,11:20,Spring,27.1,37.1,Male,Adult,2023-11-17 11:20:00,11,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk002__mel.png,Murray-Darling Depression,8,Murray-Darling Depression,0.87895846,Murray-Darling Depression,0.2936321,0,4.5522256,4.847729
4-audio-1074563498__chunk003,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk003__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk003__mel.png,5,835.9,1021.3,1478.3,69.0,21.4,-25.9507,133.29156,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,13:10,Spring,24.6,18.2,Male,Adult,2023-11-17 13:10:00,13,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk003__mel.png,Murray-Darling Depression,8,Murray-Darling Depression,0.8872443,Murray-Darling Depression,0.36996818,0,4.745556,6.3268485
4-audio-1074563498__chunk004,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk004__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk004__mel.png,5,853.5,1178.6,1508.7,81.5,15.6,-22.40401,122.4181,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,10:36,Spring,26.0,56.5,Male,Adult,2023-11-17 10:36:00,10,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk004__mel.png,Murray-Darling Depression,8,Murray-Darling Depression,0.9795705,Murray-Darling Depression,0.42579138,0,6.1018867,8.721799
4-audio-1074563498__chunk005,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk005__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk005__mel.png,5,755.1,969.5,1337.9,61.1,14.2,-27.32218,125.1139,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,9:23,Spring,15.0,13.1,Male,Adult,2023-11-17 09:23:00,9,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk005__mel.png,Murray-Darling Depression,8,Murray-Darling Depression,0.64082307,Murray-Darling Depression,0.24595405,0,4.3192086,2.6221
4-audio-1074563498__chunk006,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk006__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk006__mel.png,5,2433.8,2703.9,3318.5,89.6,9.8,-28.17198,127.55,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,6:46,Spring,22.3,63.5,Male,Adult,2023-11-17 06:46:00,6,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk006__mel.png,Murray-Darling Depression,8,Murray-Darling Depression,0.88653576,Murray-Darling Depression,0.32681757,0,2.884812,2.893602
4-audio-1074563498__chunk007,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk007__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk007__mel.png,5,1644.0,2058.2,2967.4,93.1,17.7,-24.54189,133.39252,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,9:02,Spring,31.9,26.8,Male,Adult,2023-11-17 09:02:00,9,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk007__mel.png,Murray-Darling Depression,8,Murray-Darling Depression,0.9649273,Murray-Darling Depression,0.41028145,0,4.647829,5.726977
4-audio-1074563498__chunk008,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk008__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk008__mel.png,5,708.3,930.6,1207.5,61.2,20.5,-29.10171,127.43729,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,10:31,Spring,29.9,12.1,Male,Adult,2023-11-17 10:31:00,10,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk008__mel.png,Murray-Darling Depression,8,Gawler,0.35169274,Finke,0.25159377,0,3.8137841,0.9776478
4-audio-1074563498__chunk009,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk009__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk009__mel.png,5,1376.1,1602.5,2006.1,62.1,20.2,-30.81709,138.84692,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,6:55,Spring,19.0,70.5,Male,Adult,2023-11-17 06:55:00,6,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk009__mel.png,Murray-Darling Depression,8,Burt Plain,0.36062834,Finke,0.26829746,0,3.2651465,-0.4427572
4-audio-1074563498__chunk010,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk010__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk010__mel.png,5,2549.5,3091.1,3684.4,90.9,13.9,-23.14916,128.014,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,8:25,Spring,22.8,79.4,Male,Adult,2023-11-17 08:25:00,8,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk010__mel.png,Murray-Darling Depression,8,Murray-Darling Depression,0.7136615,Murray-Darling Depression,0.2605119,0,2.6869178,1.9433514
4-audio-1074563498__chunk011,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk011__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk011__mel.png,5,751.3,1025.9,1288.1,62.4,19.5,-22.01439,135.92697,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,17:06,Spring,18.3,70.5,Male,Adult,2023-11-17 17:06:00,17,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk011__mel.png,Murray-Darling Depression,8,Murray-Darling Depression,0.6310987,Finke,0.22717743,0,2.8081012,0.5145514
5-audio-7838854693__chunk000,spectrograms/Lophochroa_leadbeateri/5-audio-7838854693__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/5-audio-7838854693__chunk000__mel.png,5,2766.2,2966.7,3671.6,89.8,12.0,-25.96142,136.05046,Central Ranges,Spinifex grassland,6/09/2024,16:46,Winter,25.4,35.5,Female,Adult,2024-09-06 16:46:00,16,9,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\5-audio-7838854693__chunk000__mel.png,Central Ranges,1,Central Ranges,0.44490013,Channel Country,0.22833848,0,0.9934636,-4.6263967
5-audio-7838854693__chunk001,spectrograms/Lophochroa_leadbeateri/5-audio-7838854693__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/5-audio-7838854693__chunk001__mel.png,5,1350.5,1571.6,1838.2,73.1,12.0,-20.4547,127.58602,Central Ranges,Spinifex grassland,6/09/2024,7:00,Winter,30.7,24.1,Female,Adult,2024-09-06 07:00:00,7,9,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\5-audio-7838854693__chunk001__mel.png,Central Ranges,1,Central Ranges,0.3711166,Central Ranges,0.18199529,0,-1.13263,-3.7099664
6-audio-7400016106__chunk000,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk000__mel.png,5,2610.5,2949.7,3861.7,86.0,15.1,-26.44284,126.94685,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,17:24,Summer,19.3,18.2,Male,Juvenile,2024-03-16 17:24:00,17,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk000__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.9160963,Central Ranges,0.2795515,0,1.5955687,3.784188
6-audio-7400016106__chunk001,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk001__mel.png,5,1780.3,2233.6,3189.6,98.7,12.7,-27.39033,130.11884,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,12:57,Summer,21.2,60.1,Male,Juvenile,2024-03-16 12:57:00,12,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk001__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.9792651,Central Ranges,0.29398847,0,1.5284851,4.5661316
6-audio-7400016106__chunk002,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk002__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk002__mel.png,5,878.2,1088.1,1360.5,58.1,14.0,-19.7596,127.09844,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,12:51,Summer,28.3,69.2,Male,Juvenile,2024-03-16 12:51:00,12,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk002__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.97165143,Central Ranges,0.31464827,0,2.8075116,3.682316
6-audio-7400016106__chunk003,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk003__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk003__mel.png,5,654.3,999.3,1340.9,74.8,14.8,-19.53973,132.68895,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,6:45,Summer,27.2,62.6,Male,Juvenile,2024-03-16 06:45:00,6,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk003__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.9591921,Great Victoria Desert,0.33075994,0,6.328741,4.6249466
6-audio-7400016106__chunk004,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk004__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk004__mel.png,5,1805.0,2317.9,3166.7,96.3,13.4,-20.5122,126.33356,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,10:03,Summer,28.0,46.1,Male,Juvenile,2024-03-16 10:03:00,10,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk004__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.5979587,Great Victoria Desert,0.37310827,0,6.6610203,2.8368506
6-audio-7400016106__chunk005,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk005__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk005__mel.png,5,2610.5,2949.7,3861.7,86.0,15.1,-26.44284,126.94685,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,17:24,Summer,19.3,18.2,Male,Juvenile,2024-03-16 17:24:00,17,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk005__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.9864594,Central Ranges,0.2917043,0,1.3726215,4.4325047
6-audio-7400016106__chunk006,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk006__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk006__mel.png,5,1045.8,1423.7,1686.6,68.0,14.0,-23.51181,138.8985,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,9:49,Summer,21.2,33.6,Male,Juvenile,2024-03-16 09:49:00,9,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk006__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.97159743,Central Ranges,0.27987063,0,2.9482987,5.9583297
6-audio-7400016106__chunk007,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk007__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk007__mel.png,5,1644.0,2058.2,2967.4,93.1,17.7,-24.54189,133.39252,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,9:02,Summer,31.9,26.8,Male,Juvenile,2024-03-16 09:02:00,9,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk007__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.96995664,Central Ranges,0.28019747,0,2.8379745,4.818437
6-audio-7400016106__chunk008,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk008__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk008__mel.png,5,238.5,439.1,1387.7,58.1,11.6,-28.36784,122.81312,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,11:44,Summer,30.3,59.6,Male,Juvenile,2024-03-16 11:44:00,11,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk008__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.9950578,Murray-Darling Depression,0.3122522,0,3.3601677,8.798782
6-audio-7400016106__chunk009,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk009__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk009__mel.png,5,594.3,961.0,1171.4,78.5,11.5,-20.18995,138.24776,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,18:42,Summer,23.2,68.9,Male,Juvenile,2024-03-16 18:42:00,18,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk009__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.9807685,Central Ranges,0.2854295,0,2.8127608,5.438271
6-audio-7400016106__chunk010,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk010__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk010__mel.png,5,1408.9,1909.6,2497.9,85.5,9.6,-25.8565,127.45336,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,10:10,Summer,15.9,67.7,Male,Juvenile,2024-03-16 10:10:00,10,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk010__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.98813874,Great Victoria Desert,0.33978614,0,4.22689,6.022678
6-audio-7400016106__chunk011,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk011__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk011__mel.png,5,2549.5,3091.1,3684.4,90.9,13.9,-23.14916,128.014,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,8:25,Summer,22.8,79.4,Male,Juvenile,2024-03-16 08:25:00,8,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk011__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.9792726,Central Ranges,0.28558287,0,1.9545264,5.1045165
6-audio-7400016106__chunk012,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk012__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk012__mel.png,5,999.3,1335.9,1643.0,67.3,23.0,-31.32003,130.29385,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,14:57,Summer,26.3,15.5,Male,Juvenile,2024-03-16 14:57:00,14,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk012__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.97887325,Central Ranges,0.26729798,0,4.1057005,5.158967
6-audio-7400016106__chunk013,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk013__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk013__mel.png,5,433.1,733.9,1863.9,54.4,11.1,-22.87297,137.61483,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,11:21,Summer,38.8,29.3,Male,Juvenile,2024-03-16 11:21:00,11,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk013__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.99108714,Central Ranges,0.2626152,0,3.6818454,4.225505
6-audio-7400016106__chunk014,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk014__mel.png,spectrograms/Lophochroa_leadbeateri/6-audio-7400016106__chunk014__mel.png,5,1407.6,1655.8,1936.5,78.3,12.1,-29.49024,132.78889,Mitchell Grass Downs,Eucalypt open woodland,16/03/2024,17:14,Summer,34.4,34.7,Male,Juvenile,2024-03-16 17:14:00,17,3,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk014__mel.png,Mitchell Grass Downs,7,Mitchell Grass Downs,0.99726176,Central Ranges,0.2460201,0,5.585441,7.3904037
