spec_fullpath,label,ibra_bioregion,recording_id,time_local,longitude,latitude,TSNE1,TSNE2
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk007__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk007,9:02,133.39252,-24.54189,32.284492,-22.307417
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk008__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk008,11:44,122.81312,-28.36784,35.17815,-22.37204
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk009__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk009,18:42,138.24776,-20.18995,33.44494,-22.877356
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk010__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk010,10:10,127.45336,-25.8565,34.082417,-21.843475
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk011__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk011,8:25,128.014,-23.14916,34.12282,-23.632626
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk012__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk012,14:57,130.29385,-31.32003,33.39094,-21.844353
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk013__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk013,11:21,137.61483,-22.87297,32.790016,-21.462324
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk014__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk014,17:14,132.78889,-29.49024,33.721737,-20.311514
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk015__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk015,14:01,126.32407,-25.60967,34.463364,-19.71439
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk016__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk016,11:20,122.31804,-29.17229,34.437233,-19.275017
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk017__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk017,6:46,127.55,-28.17198,35.984703,-20.223055
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk018__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk018,9:14,133.87992,-24.56021,36.70526,-22.07976
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk019__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk019,18:03,133.15403,-26.0808,36.598083,-21.277407
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk020__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk020,5:04,130.38363,-25.05016,35.618824,-21.818863
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk021__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk021,10:13,133.9099,-21.19183,36.375378,-22.972855
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk022__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk022,9:26,132.58951,-28.9532,34.983967,-20.764734
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk023__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk023,16:06,135.51509,-23.28208,35.60667,-18.853012
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk024__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk024,10:37,122.53293,-22.51798,34.269314,-20.697424
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk025__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk025,8:42,128.43265,-31.22621,35.37976,-20.136671
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk026__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk026,10:10,127.45336,-25.8565,31.441599,-18.67688
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\7-audio-8670250960__chunk000__mel.png,MacDonnell Ranges,MacDonnell Ranges,7-audio-8670250960__chunk000,13:10,133.29156,-25.9507,0.425976,-22.523624
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\7-audio-8670250960__chunk001__mel.png,MacDonnell Ranges,MacDonnell Ranges,7-audio-8670250960__chunk001,8:09,123.95583,-20.28742,9.91767,-25.092022
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\8-audio-1797453530__chunk000__mel.png,Channel Country,Channel Country,8-audio-1797453530__chunk000,17:43,127.85617,-28.70864,-0.22579162,14.515321
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\8-audio-1797453530__chunk001__mel.png,Channel Country,Channel Country,8-audio-1797453530__chunk001,18:42,125.06614,-20.71333,11.929022,-12.659412
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\8-audio-1797453530__chunk002__mel.png,Channel Country,Channel Country,8-audio-1797453530__chunk002,18:07,130.83273,-25.18678,11.208575,-16.964067
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\8-audio-1797453530__chunk003__mel.png,Channel Country,Channel Country,8-audio-1797453530__chunk003,17:43,127.85617,-28.70864,7.4871206,4.5103583
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\8-audio-1797453530__chunk004__mel.png,Channel Country,Channel Country,8-audio-1797453530__chunk004,10:46,123.68854,-18.1872,-2.525926,-10.013519
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\8-audio-1797453530__chunk005__mel.png,Channel Country,Channel Country,8-audio-1797453530__chunk005,6:28,131.5654,-25.01656,5.7027497,-20.1664
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\8-audio-1797453530__chunk006__mel.png,Channel Country,Channel Country,8-audio-1797453530__chunk006,11:21,137.61483,-22.87297,7.426225,4.9583125
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\8-audio-1797453530__chunk007__mel.png,Channel Country,Channel Country,8-audio-1797453530__chunk007,15:29,127.78782,-26.16668,0.22993203,15.441527
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\9-audio-550943603__chunk000__mel.png,Gawler,Gawler,9-audio-550943603__chunk000,12:46,123.52675,-20.88845,17.881796,-10.842524
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\9-audio-550943603__chunk001__mel.png,Gawler,Gawler,9-audio-550943603__chunk001,7:00,127.58602,-20.4547,17.681326,-9.030707
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\9-audio-550943603__chunk002__mel.png,Gawler,Gawler,9-audio-550943603__chunk002,7:19,124.94752,-24.64876,17.264824,-9.630475
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\9-audio-550943603__chunk003__mel.png,Gawler,Gawler,9-audio-550943603__chunk003,7:07,124.32254,-25.58433,17.857193,-8.248297
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\9-audio-550943603__chunk004__mel.png,Gawler,Gawler,9-audio-550943603__chunk004,5:04,130.38363,-25.05016,3.534303,-13.866754
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\9-audio-550943603__chunk005__mel.png,Gawler,Gawler,9-audio-550943603__chunk005,11:20,122.31804,-29.17229,2.3269112,-9.096302
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\9-audio-550943603__chunk006__mel.png,Gawler,Gawler,9-audio-550943603__chunk006,6:38,124.1552,-18.96269,14.651234,-26.420305
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\10-audio-4029332731__chunk000__mel.png,Central Ranges,Central Ranges,10-audio-4029332731__chunk000,14:25,133.75745,-27.50972,2.0869157,-22.45484
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\11-audio-8993839691__chunk000__mel.png,Gawler,Gawler,11-audio-8993839691__chunk000,11:04,135.59594,-30.87931,17.430567,-16.356815
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\11-audio-8993839691__chunk001__mel.png,Gawler,Gawler,11-audio-8993839691__chunk001,7:00,127.58602,-20.4547,17.435032,-16.535936
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\11-audio-8993839691__chunk002__mel.png,Gawler,Gawler,11-audio-8993839691__chunk002,13:22,127.53563,-25.7251,14.959252,-24.35322
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\12-audio-3401378197__chunk000__mel.png,Tanami,Tanami,12-audio-3401378197__chunk000,17:33,124.28438,-23.81506,11.602509,-20.43837
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\12-audio-3401378197__chunk001__mel.png,Channel Country,Channel Country,12-audio-3401378197__chunk001,8:25,128.014,-23.14916,9.599661,-12.82645
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\12-audio-3401378197__chunk002__mel.png,Channel Country,Channel Country,12-audio-3401378197__chunk002,13:25,129.36452,-23.86615,9.653458,-18.571278
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\12-audio-3401378197__chunk003__mel.png,Channel Country,Channel Country,12-audio-3401378197__chunk003,17:14,132.78889,-29.49024,8.847684,-10.762374
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\12-audio-3401378197__chunk004__mel.png,Channel Country,Channel Country,12-audio-3401378197__chunk004,10:36,122.4181,-22.40401,-0.1941676,-5.2319026
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\12-audio-3401378197__chunk005__mel.png,Channel Country,Channel Country,12-audio-3401378197__chunk005,9:04,125.55801,-29.83808,-6.628957,-11.0068445
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\13-audio-9176696966__chunk000__mel.png,Great Victoria Desert,Great Victoria Desert,13-audio-9176696966__chunk000,7:27,125.45458,-22.46139,3.8321164,-28.897879
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\13-audio-9176696966__chunk001__mel.png,Great Victoria Desert,Great Victoria Desert,13-audio-9176696966__chunk001,6:05,127.71744,-26.20363,2.6764166,-28.019375
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\13-audio-9176696966__chunk002__mel.png,Great Victoria Desert,Great Victoria Desert,13-audio-9176696966__chunk002,11:42,129.38088,-29.26306,2.860259,-28.15604
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\13-audio-9176696966__chunk003__mel.png,Great Victoria Desert,Great Victoria Desert,13-audio-9176696966__chunk003,16:06,135.51509,-23.28208,-38.49932,13.970067
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\14-audio-9233757637__chunk000__mel.png,Finke,Finke,14-audio-9233757637__chunk000,7:27,125.45458,-22.46139,3.5621202,-10.558629
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\14-audio-9233757637__chunk001__mel.png,Finke,Finke,14-audio-9233757637__chunk001,7:01,132.30344,-23.09028,2.095384,-10.87893
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\14-audio-9233757637__chunk002__mel.png,Finke,Finke,14-audio-9233757637__chunk002,9:52,139.07918,-19.90208,1.27307,-14.703009
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\14-audio-9233757637__chunk003__mel.png,Finke,Finke,14-audio-9233757637__chunk003,12:45,124.52448,-19.45375,1.8832937,-14.482753
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\14-audio-9233757637__chunk004__mel.png,Finke,Finke,14-audio-9233757637__chunk004,11:04,135.59594,-30.87931,2.8407176,-10.996859
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\14-audio-9233757637__chunk005__mel.png,Finke,Finke,14-audio-9233757637__chunk005,8:58,137.8256,-18.04151,-3.4470215,-24.607197
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\15-audio-9479058925__chunk000__mel.png,Central Ranges,Central Ranges,15-audio-9479058925__chunk000,9:49,138.8985,-23.51181,5.7375903,-10.686747
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\15-audio-9479058925__chunk001__mel.png,Central Ranges,Central Ranges,15-audio-9479058925__chunk001,8:24,139.18817,-27.24731,17.865328,-7.7970343
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\16-audio-9611887824__chunk000__mel.png,Simpson Strzelecki Dunefields,Simpson Strzelecki Dunefields,16-audio-9611887824__chunk000,6:57,123.90615,-23.12435,-8.239187,4.285861
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\16-audio-9611887824__chunk001__mel.png,Simpson Strzelecki Dunefields,Simpson Strzelecki Dunefields,16-audio-9611887824__chunk001,7:01,132.30344,-23.09028,-12.400959,-5.5735836
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\16-audio-9611887824__chunk002__mel.png,Simpson Strzelecki Dunefields,Simpson Strzelecki Dunefields,16-audio-9611887824__chunk002,12:46,123.52675,-20.88845,-10.848855,16.24001
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\16-audio-9611887824__chunk003__mel.png,Simpson Strzelecki Dunefields,Simpson Strzelecki Dunefields,16-audio-9611887824__chunk003,11:21,138.53829,-28.44031,3.8964977,13.487992
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\16-audio-9611887824__chunk004__mel.png,Simpson Strzelecki Dunefields,Simpson Strzelecki Dunefields,16-audio-9611887824__chunk004,16:11,131.36495,-24.94914,3.1843572,-0.05166503
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\16-audio-9611887824__chunk005__mel.png,Simpson Strzelecki Dunefields,Simpson Strzelecki Dunefields,16-audio-9611887824__chunk005,11:16,133.76372,-30.07904,4.031034,0.18851662
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\16-audio-9611887824__chunk006__mel.png,Simpson Strzelecki Dunefields,Simpson Strzelecki Dunefields,16-audio-9611887824__chunk006,8:42,128.43265,-31.22621,13.870299,2.9750106
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\16-audio-9611887824__chunk007__mel.png,Simpson Strzelecki Dunefields,Simpson Strzelecki Dunefields,16-audio-9611887824__chunk007,9:26,132.58951,-28.9532,1.9939237,26.547749
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\16-audio-9611887824__chunk008__mel.png,Simpson Strzelecki Dunefields,Simpson Strzelecki Dunefields,16-audio-9611887824__chunk008,12:51,136.87901,-21.38926,2.9536946,27.111523
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\17-audio-8900378827__chunk000__mel.png,Burt Plain,Burt Plain,17-audio-8900378827__chunk000,10:03,126.33356,-20.5122,31.195738,9.79211
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\17-audio-8900378827__chunk001__mel.png,Burt Plain,Burt Plain,17-audio-8900378827__chunk001,17:38,123.73504,-28.18862,5.5354967,17.837088
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\17-audio-8900378827__chunk002__mel.png,Burt Plain,Burt Plain,17-audio-8900378827__chunk002,12:45,124.52448,-19.45375,5.82584,16.18948
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\17-audio-8900378827__chunk003__mel.png,Burt Plain,Burt Plain,17-audio-8900378827__chunk003,7:57,136.09229,-23.0505,7.2936234,18.862406
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\17-audio-8900378827__chunk004__mel.png,Burt Plain,Burt Plain,17-audio-8900378827__chunk004,7:59,134.23149,-29.26319,5.051757,15.932061
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\17-audio-8900378827__chunk005__mel.png,Burt Plain,Burt Plain,17-audio-8900378827__chunk005,11:21,122.22145,-22.39465,31.970343,9.084235
